1,1,0.01639344262295082,askBest@0,(Offer  bid:Bid[Place: Tokyo, Budget: 900, Days: 3, Purpose: Sightseeing])
1,2,0.01639344262295082,SimpleAgent@1,(Offer  bid:Bid[Place: Osaka, Budget: 1500, Days: 6, Purpose: Activity])
2,1,0.03278688524590164,askBest@0,(Offer  bid:Bid[Place: Tokyo, Budget: 900, Days: 3, Purpose: Sightseeing])
2,2,0.03278688524590164,SimpleAgent@1,(Offer  bid:Bid[Place: Tokyo, Budget: 1500, Days: 6, Purpose: Activity])
3,1,0.04918032786885246,askBest@0,(Offer  bid:Bid[Place: Tokyo, Budget: 900, Days: 3, Purpose: Sightseeing])
3,2,0.04918032786885246,SimpleAgent@1,(Offer  bid:Bid[Place: Osaka, Budget: 1500, Days: 3, Purpose: Activity])
4,1,0.06557377049180328,askBest@0,(Offer  bid:Bid[Place: Tokyo, Budget: 900, Days: 3, Purpose: Sightseeing])
4,2,0.06557377049180328,SimpleAgent@1,(Offer  bid:Bid[Place: Tokyo, Budget: 1500, Days: 6, Purpose: Activity])
5,1,0.08196721311475409,askBest@0,(Offer  bid:Bid[Place: Tokyo, Budget: 900, Days: 3, Purpose: Sightseeing])
5,2,0.08196721311475409,SimpleAgent@1,(Offer  bid:Bid[Place: Osaka, Budget: 1500, Days: 6, Purpose: Activity])
6,1,0.09836065573770492,askBest@0,(Offer  bid:Bid[Place: Tokyo, Budget: 900, Days: 3, Purpose: Sightseeing])
6,2,0.09836065573770492,SimpleAgent@1,(Offer  bid:Bid[Place: Tokyo, Budget: 1500, Days: 6, Purpose: Activity])
7,1,0.11475409836065574,askBest@0,(Offer  bid:Bid[Place: Tokyo, Budget: 900, Days: 3, Purpose: Sightseeing])
7,2,0.11475409836065574,SimpleAgent@1,(Offer  bid:Bid[Place: Osaka, Budget: 1500, Days: 6, Purpose: Activity])
8,1,0.13114754098360656,askBest@0,(Offer  bid:Bid[Place: Tokyo, Budget: 900, Days: 3, Purpose: Sightseeing])
